id,timestamp,url,tweet,replies,retweets,quotes,likes
1317262047420190720,2020-10-17 00:32,https://twitter.com/JoeBiden/status/1317262047420190720,"Folks, millions of you have already requested absentee ballots. It’s essential to return your ballots as soon as you can. You can return your ballot by mail or, in most states, at locations designated by your clerk. Head to https://t.co/eoxT07uII9 to learn more. https://t.co/ULvjzpb8PZ",3351,3442,221,12326
1317252484071624708,2020-10-16 23:54,https://twitter.com/JoeBiden/status/1317252484071624708,"Violence against transgender and gender non-conforming people — particularly Black and Brown transgender women — is an epidemic that needs national leadership. But Donald Trump has done nothing but fan the flames of transphobia.

It has to end. https://t.co/v2DAbcIcCv",2718,5012,370,24330
1317243927817113600,2020-10-16 23:20,https://twitter.com/JoeBiden/status/1317243927817113600,Let’s be clear: The emergency aid should have never been denied in the first place. https://t.co/GZuhSNSY7y,2772,13135,399,71698
1317230581994811392,2020-10-16 22:26,https://twitter.com/JoeBiden/status/1317230581994811392,"The election is underway across the country, and millions of Americans have already cast their ballots. I’m in Detroit, Michigan, to encourage folks to join them and vote early. Tune in. https://t.co/8QXlDNjKzi",1802,1933,122,8500
1317226311669014528,2020-10-16 22:10,https://twitter.com/JoeBiden/status/1317226311669014528,"Not only does President Trump refuse to grant Temporary Protected Status to Venezuelans, but he also apparently used stealth deportations to send them back to the oppressive Maduro regime.

It’s abundantly clear he has no regard for the suffering of the Venezuelan people. https://t.co/wJnQ5EDT7M",2231,4475,307,16564
1317216245679378432,2020-10-16 21:30,https://twitter.com/JoeBiden/status/1317216245679378432,"You have the power to prevent 2016 from happening again — but only if you vote.

https://t.co/eoxT07d7QB https://t.co/ujWChoXpYK",3494,11434,840,39830
1317202907444334592,2020-10-16 20:37,https://twitter.com/JoeBiden/status/1317202907444334592,We need a president who will expand access to health care — not one who does everything he can to tear it away.,8544,15867,980,111570
1317187255019077632,2020-10-16 19:34,https://twitter.com/JoeBiden/status/1317187255019077632,We can’t let President Trump tear down Obamacare — we have to protect and build on it. Tune in as I speak live from Michigan about my plans to give more Americans access to affordable health care. https://t.co/RZ8hakbLbe,2463,2893,189,12322
1317162642142875654,2020-10-16 17:57,https://twitter.com/JoeBiden/status/1317162642142875654,"I know times are tough, but I promise our best days still lie ahead. Together, we're going to overcome these crises, unite the country, and build a better future for all.",8790,17307,1147,119269
1317151066035802112,2020-10-16 17:11,https://twitter.com/JoeBiden/status/1317151066035802112,"The cast of Hamilton knows we're engaged in a battle for this nation's very soul — and this election is too important to sit out. So they're coming together for a grassroots fundraiser tonight that you won't want to miss.

Chip in to reserve your spot: https://t.co/3ScSFrEMSr",1767,3638,269,17499
1317118107882803203,2020-10-16 15:00,https://twitter.com/JoeBiden/status/1317118107882803203,".@JLo and @AROD –– Jill and I are deeply grateful to have your support.

Thank you for stepping up and speaking out. As Jennifer said: The Latino community has the power to determine the outcome of this election. 

Vote: https://t.co/eoxT07d7QB https://t.co/Nf08ln8XVj",3985,7173,617,31641
1317113065544929282,2020-10-16 14:40,https://twitter.com/JoeBiden/status/1317113065544929282,Louisiana –– early voting begins today across the state. Head to https://t.co/2NyiL42it7 to find all the info you need to cast your ballot.,1827,3450,158,12640
1317108032317267968,2020-10-16 14:20,https://twitter.com/JoeBiden/status/1317108032317267968,Nebraska — today is your last day to register to vote online and by mail. Head to https://t.co/K5rrtCjL7O to get registered before it’s too late.,1556,3046,140,11913
1316923063649226752,2020-10-16 02:05,https://twitter.com/JoeBiden/status/1316923063649226752,"I just stepped off the stage at tonight’s town hall, where I laid out what’s at stake in this election.

Now, I need your help. Chip in to power our campaign through this final stretch. https://t.co/OcFsE3oMHq",5440,4018,322,22845
1316920798406451205,2020-10-16 01:56,https://twitter.com/JoeBiden/status/1316920798406451205,"If I'm elected president, you won't hear me race-baiting, you won't hear me dividing — you'll hear me trying to unify. https://t.co/PNsBW8OQmX",8022,10222,1328,55256
1316920043553378305,2020-10-16 01:53,https://twitter.com/JoeBiden/status/1316920043553378305,"How will I ensure the rights of LGBTQ+ people are protected under U.S. law?

I’ll change the law.",6697,27622,1910,227644
1316917275354669061,2020-10-16 01:42,https://twitter.com/JoeBiden/status/1316917275354669061,We have to heal this nation. https://t.co/wD45ZGcKO2,3663,8895,653,52933
1316915010606514176,2020-10-16 01:33,https://twitter.com/JoeBiden/status/1316915010606514176,"I'm running as a proud Democrat, but I'm going to be an American president. 

I'm going to take care of those who voted against me as well as those who voted for me. 

That's what presidents do.",8805,23236,1573,172838
1316914003646517249,2020-10-16 01:29,https://twitter.com/JoeBiden/status/1316914003646517249,"We're a diverse country — and unless we are able to treat people equally, we're just never going to meet our potential.",4516,22821,918,152741
1316907209465290752,2020-10-16 01:02,https://twitter.com/JoeBiden/status/1316907209465290752,"Folks, I hope I’m making you proud during tonight’s town hall.

If you’re with us, please chip in to help power our campaign over these final 19 days. https://t.co/rA9WmMPRxs",4197,4068,420,31088
1316903434168172551,2020-10-16 00:47,https://twitter.com/JoeBiden/status/1316903434168172551,"Two of the things I've cared about throughout my whole career:

1. Improving the criminal justice system.
2. Putting Black Americans in a position to gain generational wealth.

And as president, I will continue that fight every day.",7760,4812,1491,28730
1316899408315772928,2020-10-16 00:31,https://twitter.com/JoeBiden/status/1316899408315772928,The words of a president matter. https://t.co/ABrbg5xTkg,1603,6216,364,32110
1316896639416561666,2020-10-16 00:20,https://twitter.com/JoeBiden/status/1316896639416561666,"Let me be very clear: If you make under $400,000 you won’t pay a penny more in taxes under my administration.",25256,46416,5002,345758
1316896136116891649,2020-10-16 00:18,https://twitter.com/JoeBiden/status/1316896136116891649,"The words of a president matter. And when a president doesn't wear a mask or makes fun of folks who do, it has consequences.",3265,17224,594,117539
1316894877649653761,2020-10-16 00:13,https://twitter.com/JoeBiden/status/1316894877649653761,"Over 215,000 Americans have died from COVID-19, and what is President Trump doing?

Nothing.",2036,5891,279,31665
1316894374500962305,2020-10-16 00:11,https://twitter.com/JoeBiden/status/1316894374500962305,"We're eight months into this pandemic, and Donald Trump still doesn't have a plan to get this virus under control.

I do.",3464,10222,521,70518
1316888334594007040,2020-10-15 23:47,https://twitter.com/JoeBiden/status/1316888334594007040,"I’m about to step on stage for tonight’s town hall in Philadelphia, Pennsylvania. Tune in to @ABC to watch live.",4540,9325,623,88742
1316881791425212417,2020-10-15 23:21,https://twitter.com/JoeBiden/status/1316881791425212417,"This is not a moment — it's a movement.

Rise up and be a part of it with the original cast of Hamilton.

Chip in to join: https://t.co/YtCDSeBN01",880,3453,169,18825
1316854109270503426,2020-10-15 21:31,https://twitter.com/JoeBiden/status/1316854109270503426,"Well, folks, @KamalaHarris and I watched some of President Trump’s remarks from the campaign trail — and it went just as you’d imagine. We wanted to take a moment to clear up some of the lies he’s been saying about us. https://t.co/QWqXp3qdSD",2605,17567,1369,100121
1316840806502760448,2020-10-15 20:38,https://twitter.com/JoeBiden/status/1316840806502760448,"Our campaign’s contact tracing remains ongoing, and my team will continue to share any significant developments with the American people. If anything, let this serve as an example of the importance of wearing masks and keeping a safe, social distance.",925,2635,125,39235
1316840627817066496,2020-10-15 20:37,https://twitter.com/JoeBiden/status/1316840627817066496,"Not only was the individual 50+ feet away and wearing a mask, but I was wearing an N-95 mask. No members of my staff were in contact with this crew member either.  My doctors have advised that there is no need for me to quarantine.",706,2318,89,36086
1316840452235186178,2020-10-15 20:36,https://twitter.com/JoeBiden/status/1316840452235186178,"During our contact tracing, we discovered around noon today that a member of the company that charters my airplane has also tested positive for COVID. This crew member was on the plane with me, but was more than 50 feet away. 

My COVID test from last night came back negative.",3612,6943,823,84129
1316831214821548033,2020-10-15 20:00,https://twitter.com/JoeBiden/status/1316831214821548033,"Donald Trump is rushing through Justice Ginsburg's replacement because he's laser-focused on destroying the Affordable Care Act. 

Here's what's at stake: https://t.co/W7kluAVe2l",2945,3369,268,12945
1316819884081393667,2020-10-15 19:15,https://twitter.com/JoeBiden/status/1316819884081393667,President Obama and I left Donald Trump a booming economy — and he caused a recession. He squandered it just like he has everything else he’s inherited in his life.,29010,47792,5386,320199
1316808561435967488,2020-10-15 18:30,https://twitter.com/JoeBiden/status/1316808561435967488,Nevada — today is the last day to register to vote online to automatically receive a ballot in the mail. Head to https://t.co/ajJjiHyWD2 for all the information you need to make your voice heard.,1542,2293,127,8977
1316801009184722945,2020-10-15 18:00,https://twitter.com/JoeBiden/status/1316801009184722945,"Donald Trump can lie about the economy all he wants, but the truth is he’s the worst jobs president since 1929. https://t.co/lShe254BEG",8174,29073,2101,83493
1316792201213407232,2020-10-15 17:25,https://twitter.com/JoeBiden/status/1316792201213407232,"This #SpiritDay — and every day — we must stand up to hate and intolerance. It’s up to all of us to ensure every young person is affirmed and accepted just as they are — regardless of sexual orientation, gender identity or expression.",2324,6690,293,36664
1316782889808228352,2020-10-15 16:48,https://twitter.com/JoeBiden/status/1316782889808228352,Arizona — ¡la fecha límite para registrarte para votar en Arizona ha sido extendida! Visita https://t.co/nApec6sbPe para registrarte en linea antes de las 11:59PM el jueves 15 de octubre.,1741,1806,128,8003
1316768797110546432,2020-10-15 15:52,https://twitter.com/JoeBiden/status/1316768797110546432,"Arizona — your voter registration deadline has been extended! Head to https://t.co/2fKBLS6oXu to get registered online before 11:59 PM on Thursday, October 15.",1898,3643,166,12420
1316751936142495745,2020-10-15 14:45,https://twitter.com/JoeBiden/status/1316751936142495745,North Carolina –– early voting begins today across the state. Head to https://t.co/3bJfY7O8Ap for all the info you need to make your voice heard.,2181,4485,242,18143
1316736837524713472,2020-10-15 13:45,https://twitter.com/JoeBiden/status/1316736837524713472,"The fact that Senate Republicans haven’t bothered to pass a COVID relief package but are rushing through President Trump’s Supreme Court pick says all you need to know.

We’ve got to flip the Senate, folks.",20095,48963,3130,269572
1316572503616094208,2020-10-15 02:52,https://twitter.com/JoeBiden/status/1316572503616094208,I heard it's #NationalDessertDay https://t.co/RtBhurORwR,17849,19317,7497,234694
1316569008594972672,2020-10-15 02:38,https://twitter.com/JoeBiden/status/1316569008594972672,Nature knows. https://t.co/JNSOxAUDLu,2979,4674,368,30524
1316559920741916672,2020-10-15 02:02,https://twitter.com/JoeBiden/status/1316559920741916672,"Folks, we can’t let up. We’re just a few hours away from our last public fundraising deadline before Election Day, and we need your help to hit our goal.

It all comes down to this. Chip in to beat Donald Trump: https://t.co/fMpq2FQjWw",4214,2529,278,12319
1316548847712182272,2020-10-15 01:18,https://twitter.com/JoeBiden/status/1316548847712182272,"To every person who chipped in a few dollars last month — thank you. Because of your support, we raised an astounding $383 million. I'm incredibly humbled.

There's still more work to be done, but I wanted to share the good news with Trimicka, one of our grassroots supporters. https://t.co/f9hIPT6PTW",6358,8673,1275,47650
1316513615373987840,2020-10-14 22:58,https://twitter.com/JoeBiden/status/1316513615373987840,"Vote for America.

https://t.co/eoxT07uII9 https://t.co/sBd51fgmln",17966,51181,8031,153518
1316506571082522626,2020-10-14 22:30,https://twitter.com/JoeBiden/status/1316506571082522626,"If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.

It’s unconscionable.",15141,18257,1473,85407
1316493986295504897,2020-10-14 21:40,https://twitter.com/JoeBiden/status/1316493986295504897,"There's only one way to end this horror: Vote.

https://t.co/eoxT07uII9 https://t.co/3RTLmdyzMa",7025,13732,1382,51145
1316487694818500608,2020-10-14 21:15,https://twitter.com/JoeBiden/status/1316487694818500608,Rhode Island and Tennessee — early voting has officially started. Join millions of people across the country and vote early today. https://t.co/eoxT07uII9,2367,2959,181,14018
1316478131788746756,2020-10-14 20:37,https://twitter.com/JoeBiden/status/1316478131788746756,Don't throw away your shot to spend Friday night with the original cast of Hamilton. Chip in today to reserve your spot: https://t.co/utKe7y9Jg5 https://t.co/QkyGHlTYsl,1796,3310,182,15907
1316463787579502596,2020-10-14 19:40,https://twitter.com/JoeBiden/status/1316463787579502596,"Today would have been George Floyd’s 47th birthday, and he should be alive to celebrate it.

I made a promise to his family that I won’t let him become just another hashtag — and I’ll work every day as president to keep that promise.",9277,28454,1364,198665
1316446172521795584,2020-10-14 18:30,https://twitter.com/JoeBiden/status/1316446172521795584,"Tonight, our campaign will close our books and send in the names of our grassroots supporters for the final time. 

Chip in to make sure you’re on the list: https://t.co/ff1FGgz3yE",3027,2314,175,10530
1316438873405190145,2020-10-14 18:01,https://twitter.com/JoeBiden/status/1316438873405190145,"Virginia — your voter registration deadline has been extended! Head to https://t.co/fnQjqg1By6 to get registered online before 11:59 PM on Thursday, October 15.",1615,5284,185,17778
1316417230670721024,2020-10-14 16:35,https://twitter.com/JoeBiden/status/1316417230670721024,"Donald Trump wants to destroy Obamacare.

I want to protect and build on it.

It’s that simple, folks.",15168,23455,1742,167964
1316402131197452288,2020-10-14 15:35,https://twitter.com/JoeBiden/status/1316402131197452288,"If President Trump is successful in forcing through his nominee to the U.S. Supreme Court, it will likely repeal the ACA and 100 million Americans with pre-existing conditions will lose their protections.
 
Vote like your health care depends on it. Because it does. https://t.co/XgY2aGRZq2",3889,6267,388,22254
1316393826789937152,2020-10-14 15:02,https://twitter.com/JoeBiden/status/1316393826789937152,Kansas –– you can advance vote in many counties starting today. Head to https://t.co/UXWStEl2zn to find all the info you need to cast your ballot in this election.,1978,3246,156,12846
